partida_id,rodada,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
4987,1,Coritiba,16,0,55.0,388,,21,2,0,0,5
4987,1,Chapecoense,13,0,45.0,326,,20,2,0,3,3
4988,1,Atlético Mineiro,10,0,50.0,426,,14,4,0,4,2
4988,1,Palmeiras,17,0,50.0,406,,20,2,0,2,11
4989,1,Joinville,3,0,26.0,250,,14,0,1,1,3
4989,1,Fluminense,26,11,74.0,702,,9,2,0,1,5
4990,1,Ponte Preta,17,0,55.0,473,,21,4,1,0,10
4990,1,Grêmio,11,0,45.0,401,,17,3,0,2,5
4993,1,Corinthians,11,0,44.0,391,,15,1,0,2,4
4993,1,Cruzeiro,13,0,56.0,487,,17,3,0,4,2
4994,1,Figueirense,7,0,46.0,391,,14,2,1,3,1
4994,1,Sport,17,0,54.0,449,,17,1,0,0,7
4991,1,Internacional,17,0,61.0,502,,17,2,0,1,11
4991,1,Athletico Paranaense,10,0,39.0,335,,17,1,0,1,2
4992,1,Flamengo,12,0,46.0,430,,12,1,0,6,6
4992,1,São Paulo,19,0,54.0,502,,17,2,0,1,4
4996,1,Vasco da Gama,11,0,62.0,439,,16,3,0,0,4
4996,1,Goiás,5,0,38.0,279,,27,5,0,2,2
4995,1,Santos,8,0,49.0,452,,11,1,1,2,3
4995,1,Avaí,16,0,51.0,462,,10,2,0,2,4
4997,2,Goiás,13,0,41.0,334,,14,2,0,0,6
4997,2,Athletico Paranaense,8,0,59.0,477,,18,1,1,1,5
4998,2,Grêmio,10,0,57.0,456,,13,3,0,4,4
4998,2,Coritiba,9,0,43.0,353,,22,2,0,3,2
4999,2,Corinthians,13,0,46.0,437,,16,2,0,1,7
4999,2,Chapecoense,11,0,54.0,487,,13,4,0,5,2
5000,2,Figueirense,12,0,47.0,381,,18,2,0,3,6
5000,2,Vasco da Gama,14,0,53.0,436,,13,6,0,0,7
5001,2,Fluminense,8,2,46.0,411,,9,1,0,2,0
5001,2,Atlético Mineiro,16,8,54.0,466,,17,2,0,1,7
5002,2,Sport,14,0,41.0,373,,7,3,0,1,3
5002,2,Flamengo,18,0,59.0,492,,10,2,0,6,13
