partida_id,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
4607,1,2014-04-19,18:28,Fluminense,Figueirense,,,C. Borges dos Santos,V. Eutrópio,Fluminense,Maracanã,3,0,RJ,SC
4608,1,2014-04-19,18:31,Internacional,Vitória,,,A. da Silva Braga,N. da Silveira Júnior,Internacional,Estádio José Pinheiro Borda,1,0,RS,BA
4609,1,2014-04-19,20:59,Chapecoense,Coritiba,,,G. Dal Pozzo,C. Juarez Roth,-,Arena Condá,0,0,SC,PR
4612,1,2014-04-20,15:58,Bahia,Cruzeiro,,,M. dos Santos Gonçalves,M. de Oliveira Santos,Cruzeiro,Itaipava Arena Fonte Nova,1,2,BA,MG
4611,1,2014-04-20,15:59,São Paulo,Botafogo,,,M. Ramalho,V. Carmo Mancini,São Paulo,Morumbi,3,0,SP,RJ
4610,1,2014-04-20,16:00,Athletico Paranaense,Grêmio,,,M. Portugal Vicario,E. Alves Moreira,Athletico Paranaense,Orlando Scarpelli,1,0,PR,RS
4613,1,2014-04-20,16:02,Atlético Mineiro,Corinthians,,,P. Autuori de Mello,L. Venker de Menezes,-,Estádio Municipal Parque do Sabiá,0,0,MG,SP
4614,1,2014-04-20,18:28,Flamengo,Goiás,,,J. de Almeida Filho,S. Drubscky de Campos,-,Estádio Nacional de Brasília,0,0,RJ,GO
4615,1,2014-04-20,18:31,Santos,Sport,,,O. de Oliveira Filho,E. Baptista,-,Estádio Urbano Caldeira,1,1,SP,PE
4616,1,2014-04-20,18:33,Criciúma,Palmeiras,,,L. Saroli Caio Júnior,G. Kleina,Palmeiras,Estádio Heriberto Hülse,1,2,SC,SP
4617,2,2014-04-26,18:32,Coritiba,Santos,,,C. Juarez Roth,O. de Oliveira Filho,-,Couto Pereira,0,0,PR,SP
4618,2,2014-04-26,21:00,Palmeiras,Fluminense,,,G. Kleina,C. Borges dos Santos,Fluminense,Estádio Municipal Paulo Machado de Carvalho,0,1,SP,RJ
4620,2,2014-04-27,16:00,Vitória,Athletico Paranaense,,,N. da Silveira Júnior,M. Portugal Vicario,-,Estádio de Pituaçu,2,2,BA,PR
4622,2,2014-04-27,16:00,Cruzeiro,São Paulo,,,M. de Oliveira Santos,M. Ramalho,-,Estádio Municipal Parque do Sabiá,1,1,MG,SP
4619,2,2014-04-27,16:01,Botafogo,Internacional,,,V. Carmo Mancini,A. da Silva Braga,-,Maracanã,2,2,RJ,RS
4621,2,2014-04-27,16:02,Corinthians,Flamengo,,,L. Venker de Menezes,J. de Almeida Filho,Corinthians,Estádio Municipal Paulo Machado de Carvalho,2,0,SP,RJ
4626,2,2014-04-27,18:29,Sport,Chapecoense,,,E. Baptista,G. Dal Pozzo,Sport,Adelmar da Costa Carvalho,2,1,PE,SC
4623,2,2014-04-27,18:30,Figueirense,Bahia,,,V. Eutrópio,M. dos Santos Gonçalves,Bahia,Arena Barueri,0,2,SC,BA
4624,2,2014-04-27,18:31,Grêmio,Atlético Mineiro,,,E. Alves Moreira,L. Culpi,Grêmio,Arena do Grêmio,2,1,RS,MG
4625,2,2014-04-27,18:32,Goiás,Criciúma,,,S. Drubscky de Campos,L. Saroli Caio Júnior,Goiás,Estádio Municipal Juscelino Kubitschek,1,0,GO,SC
4628,3,2014-05-03,18:27,Athletico Paranaense,Cruzeiro,,,M. Portugal Vicario,M. de Oliveira Santos,Cruzeiro,Estádio Nacional de Brasília,2,3,PR,MG
4627,3,2014-05-03,18:30,Santos,Grêmio,,,O. de Oliveira Filho,E. Alves Moreira,-,Estádio Urbano Caldeira,0,0,SP,RS
4629,3,2014-05-03,18:32,São Paulo,Coritiba,,,M. Ramalho,C. Juarez Roth,-,Estádio Municipal Paulo Machado de Carvalho,2,2,SP,PR
4630,3,2014-05-03,20:59,Fluminense,Vitória,,,C. Borges dos Santos,N. da Silveira Júnior,Vitória,Maracanã,1,2,RJ,BA
4631,3,2014-05-04,15:59,Criciúma,Figueirense,,,W. Lopes,A. Ferreira,Criciúma,Estádio Heriberto Hülse,1,0,SC,SC
4634,3,2014-05-04,16:01,Flamengo,Palmeiras,,,J. de Almeida Filho,G. Kleina,Flamengo,Maracanã,4,2,RJ,SP
4633,3,2014-05-04,16:02,Bahia,Botafogo,,,M. dos Santos Gonçalves,V. Carmo Mancini,Bahia,Itaipava Arena Fonte Nova,1,0,BA,RJ
4632,3,2014-05-04,16:04,Internacional,Sport,,,A. da Silva Braga,E. Baptista,Internacional,Estádio José Pinheiro Borda,2,1,RS,PE
4635,3,2014-05-04,18:28,Chapecoense,Corinthians,,,G. Dal Pozzo,L. Venker de Menezes,Corinthians,Arena Condá,0,1,SC,SP
4636,3,2014-05-04,18:29,Atlético Mineiro,Goiás,,,L. Culpi,S. Drubscky de Campos,Goiás,Estádio Raimundo Sampaio,0,1,MG,GO
4638,4,2014-05-10,18:31,Palmeiras,Goiás,,,A. Valentim do Carmo Neto,S. Drubscky de Campos,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,2,0,SP,GO
4637,4,2014-05-10,18:32,Internacional,Athletico Paranaense,,,A. da Silva Braga,M. Portugal Vicario,Internacional,Estádio José Pinheiro Borda,2,1,RS,PR
4639,4,2014-05-10,21:01,Botafogo,Criciúma,,,V. Carmo Mancini,W. Lopes,Botafogo,Maracanã,6,0,RJ,SC
4642,4,2014-05-11,15:58,Atlético Mineiro,Cruzeiro,,,L. Culpi,M. de Oliveira Santos,Atlético Mineiro,Estádio Raimundo Sampaio,2,1,MG,MG
4640,4,2014-05-11,15:59,Chapecoense,Grêmio,,,G. Dal Pozzo,E. Alves Moreira,Grêmio,Arena Condá,1,2,SC,RS
4641,4,2014-05-11,16:00,Fluminense,Flamengo,,,C. Borges dos Santos,J. de Almeida Filho,Fluminense,Maracanã,2,0,RJ,RJ
4643,4,2014-05-11,16:02,São Paulo,Corinthians,,,M. Ramalho,L. Venker de Menezes,-,Arena Barueri,1,1,SP,SP
4644,4,2014-05-11,18:30,Figueirense,Santos,,,A. Ferreira,O. de Oliveira Filho,Santos,Estádio do Café,0,2,SC,SP
4645,4,2014-05-11,18:32,Coritiba,Sport,,,C. Juarez Roth,E. Baptista,Sport,Couto Pereira,0,1,PR,PE
4646,4,2014-05-11,18:33,Bahia,Vitória,,,M. dos Santos Gonçalves,N. da Silveira Júnior,-,Itaipava Arena Fonte Nova,1,1,BA,BA
4647,5,2014-05-14,22:02,Goiás,Botafogo,,,S. Drubscky de Campos,V. Carmo Mancini,Goiás,Helenão,2,0,GO,RJ
4648,5,2014-05-17,18:28,Cruzeiro,Coritiba,,,M. de Oliveira Santos,C. Juarez Roth,Cruzeiro,Mineirão,3,2,MG,PR
4651,5,2014-05-18,15:58,Flamengo,São Paulo,,,N. da Silveira Júnior,M. Ramalho,São Paulo,Maracanã,0,2,RJ,SP
4649,5,2014-05-18,16:00,Grêmio,Fluminense,,,E. Alves Moreira,C. Borges dos Santos,Grêmio,Arena do Grêmio,1,0,RS,RJ
4650,5,2014-05-18,16:02,Corinthians,Figueirense,,,L. Venker de Menezes,A. Ferreira,Figueirense,Neo Química Arena,0,1,SP,SC
4652,5,2014-05-18,16:15,Athletico Paranaense,Chapecoense,,,M. Portugal Vicario,G. Dal Pozzo,-,Estádio Willie Davids,1,1,PR,SC
4654,5,2014-05-18,18:29,Criciúma,Internacional,,,W. Lopes,A. da Silva Braga,-,Estádio Heriberto Hülse,0,0,SC,RS
4653,5,2014-05-18,18:33,Vitória,Palmeiras,,,C. Amadeu,A. Valentim do Carmo Neto,Palmeiras,Estádio de Pituaçu,0,1,BA,SP
4655,5,2014-05-18,18:33,Santos,Atlético Mineiro,,,O. de Oliveira Filho,L. Culpi,Atlético Mineiro,Arena Pantanal,1,2,SP,MG
4658,6,2014-05-21,19:30,Flamengo,Bahia,,,N. da Silveira Júnior,M. dos Santos Gonçalves,-,Moacyrzão,1,1,RJ,BA
4657,6,2014-05-21,19:31,Coritiba,Internacional,,,C. Juarez Roth,A. da Silva Braga,-,Couto Pereira,1,1,PR,RS
4659,6,2014-05-21,20:59,Cruzeiro,Sport,,,M. de Oliveira Santos,E. Baptista,Cruzeiro,Mineirão,2,0,MG,PE
4660,6,2014-05-21,21:02,Criciúma,Chapecoense,,,W. Lopes,G. Dal Pozzo,Criciúma,Estádio Heriberto Hülse,1,0,SC,SC
4662,6,2014-05-21,22:00,Fluminense,São Paulo,,,C. Borges dos Santos,M. Ramalho,Fluminense,Maracanã,5,2,RJ,SP
4663,6,2014-05-21,22:00,Grêmio,Botafogo,,,E. Alves Moreira,V. Carmo Mancini,Grêmio,Alfredo Jaconi,2,1,RS,RJ
4661,6,2014-05-21,22:03,Corinthians,Athletico Paranaense,,,L. Venker de Menezes,,-,Estádio Dr. Oswaldo Teixeira Duarte,1,1,SP,PR
4665,6,2014-05-22,19:31,Goiás,Santos,,,S. Drubscky de Campos,O. de Oliveira Filho,-,Estádio do Governo do Estado de Goiás (Serra Dourada),2,2,GO,SP
4664,6,2014-05-22,19:32,Palmeiras,Figueirense,,,A. Valentim do Carmo Neto,A. Ferreira,Palmeiras,Estádio Doutor Adhemar de Barros,1,0,SP,SC
4666,6,2014-05-22,21:03,Vitória,Atlético Mineiro,,,C. Amadeu,L. Culpi,Atlético Mineiro,Estádio Alberto Oliveira,2,3,BA,MG
4667,7,2014-05-24,18:33,Bahia,Fluminense,,,M. dos Santos Gonçalves,C. Borges dos Santos,Fluminense,Arena Barueri,0,1,BA,RJ
4668,7,2014-05-24,20:59,São Paulo,Grêmio,,,M. Ramalho,E. Alves Moreira,São Paulo,Morumbi,1,0,SP,RS
4671,7,2014-05-25,16:00,Sport,Corinthians,,,E. Baptista,L. Venker de Menezes,Corinthians,Adelmar da Costa Carvalho,1,4,PE,SP
4672,7,2014-05-25,16:01,Athletico Paranaense,Coritiba,,,,C. Juarez Roth,Athletico Paranaense,Estádio Willie Davids,2,0,PR,PR
4670,7,2014-05-25,16:03,Figueirense,Goiás,,,A. Ferreira,S. Drubscky de Campos,Goiás,Orlando Scarpelli,0,1,SC,GO
4669,7,2014-05-25,16:04,Santos,Flamengo,,,O. de Oliveira Filho,N. da Silveira Júnior,-,Morumbi,0,0,SP,RJ
4673,7,2014-05-25,18:30,Internacional,Cruzeiro,,,A. da Silva Braga,M. de Oliveira Santos,Cruzeiro,Estádio Francisco Stédile (Centenário),1,3,RS,MG
4674,7,2014-05-25,18:32,Botafogo,Vitória,,,V. Carmo Mancini,J. da Silva,-,Moacyrzão,1,1,RJ,BA
4675,7,2014-05-25,18:34,Chapecoense,Palmeiras,,,C. Rodrigues,R. Gareca Nardi,Chapecoense,Arena Condá,2,0,SC,SP
4676,7,2014-05-25,18:35,Atlético Mineiro,Criciúma,,,L. Culpi,W. Lopes,-,Estádio Ipatingão,0,0,MG,SC
4679,8,2014-05-28,19:28,Sport,Grêmio,,,E. Baptista,E. Alves Moreira,-,Adelmar da Costa Carvalho,0,0,PE,RS
4677,8,2014-05-28,19:32,Criciúma,Coritiba,,,W. Lopes,C. Juarez Roth,Criciúma,Estádio Heriberto Hülse,1,0,SC,PR
4678,8,2014-05-28,19:33,Palmeiras,Botafogo,,,R. Gareca Nardi,V. Carmo Mancini,Botafogo,Estádio Paulo Constantino,0,2,SP,RJ
4680,8,2014-05-28,20:56,Internacional,Chapecoense,,,A. da Silva Braga,C. Rodrigues,Internacional,Estádio Francisco Stédile (Centenário),2,0,RS,SC
4681,8,2014-05-28,21:02,Goiás,Vitória,,,S. Drubscky de Campos,J. da Silva,-,Estádio do Governo do Estado de Goiás (Serra Dourada),0,0,GO,BA
4682,8,2014-05-28,21:59,Corinthians,Cruzeiro,,,L. Venker de Menezes,M. de Oliveira Santos,Corinthians,Estádio Dr. Oswaldo Teixeira Duarte,1,0,SP,MG
4684,8,2014-05-28,22:01,Atlético Mineiro,Fluminense,,,L. Culpi,C. Borges dos Santos,Atlético Mineiro,Estádio Ipatingão,2,0,MG,RJ
4683,8,2014-05-28,22:02,Athletico Paranaense,São Paulo,,,,M. Ramalho,-,Estádio Municipal Parque do Sabiá,2,2,PR,SP
4685,8,2014-05-29,19:29,Flamengo,Figueirense,,,N. da Silveira Júnior,A. Ferreira,-,Morumbi,1,1,RJ,SC
4686,8,2014-05-29,21:02,Bahia,Santos,,,M. dos Santos Gonçalves,O. de Oliveira Filho,Santos,Estádio Alberto Oliveira,0,2,BA,SP
4687,9,2014-05-31,18:29,Coritiba,Goiás,,,C. Juarez Roth,S. Drubscky de Campos,Coritiba,Vila Capanema,3,0,PR,GO
4688,9,2014-05-31,18:32,São Paulo,Atlético Mineiro,,,M. Ramalho,L. Culpi,São Paulo,Morumbi,2,1,SP,MG
4689,9,2014-05-31,21:03,Vitória,Sport,,,J. da Silva,E. Baptista,Sport,Estádio Alberto Oliveira,0,1,BA,PE
4690,9,2014-06-01,15:58,Grêmio,Palmeiras,,,E. Alves Moreira,R. Gareca Nardi,-,Alfredo Jaconi,0,0,RS,SP
4691,9,2014-06-01,16:01,Chapecoense,Bahia,,,C. Rodrigues,M. dos Santos Gonçalves,Chapecoense,Arena Condá,2,1,SC,BA
4692,9,2014-06-01,16:01,Cruzeiro,Flamengo,,,M. de Oliveira Santos,N. da Silveira Júnior,Cruzeiro,Estádio Municipal Parque do Sabiá,3,0,MG,RJ
4694,9,2014-06-01,18:29,Santos,Criciúma,,,O. de Oliveira Filho,W. Lopes,Santos,Primeiro de Maio São Bernardo do Campo,2,0,SP,SC
4693,9,2014-06-01,18:30,Fluminense,Internacional,,,C. Borges dos Santos,A. da Silva Braga,-,Moacyrzão,1,1,RJ,RS
4695,9,2014-06-01,18:30,Figueirense,Athletico Paranaense,,,A. Ferreira,,Athletico Paranaense,Orlando Scarpelli,1,3,SC,PR
4697,28,2014-06-01,16:03,Corinthians,Botafogo,,,L. Venker de Menezes,V. Carmo Mancini,-,Neo Química Arena,1,1,SP,RJ
4656,5,2014-06-04,21:00,Sport,Bahia,,,E. Baptista,M. dos Santos Gonçalves,Sport,Adelmar da Costa Carvalho,1,0,PE,BA
4707,10,2014-07-16,19:29,Grêmio,Goiás,,,E. Alves Moreira,S. Drubscky de Campos,-,Arena do Grêmio,0,0,RS,GO
4709,10,2014-07-16,19:31,Sport,Botafogo,,,E. Baptista,V. Carmo Mancini,Sport,Adelmar da Costa Carvalho,1,0,PE,RJ
