partida_id,rodada,clube,atleta,minuto,tipo_de_gol,minuto_numerico
4607,1,Fluminense,Rafael Sóbis,31,,31
4607,1,Fluminense,Nirley da Silva Fonseca,59,Gol Contra,59
4607,1,Fluminense,Fred,45,Penalty,45
4608,1,Internacional,Charles Aránguiz,6,,6
4612,1,Cruzeiro,Nílton Ferreira Júnior,63,,63
4612,1,Bahia,Anderson Talisca,80,Penalty,80
4612,1,Cruzeiro,Marcelo Moreno,90,,90
4611,1,São Paulo,Douglas Pereira dos Santos,22,,22
4611,1,São Paulo,Luís Fabiano,56,,56
4611,1,São Paulo,Antônio Carlos dos Santos Aguiar,13,,13
4610,1,Athletico Paranaense,Dráusio Luis Salla Gil,16,,16
4615,1,Santos,Gabriel Barbosa,80,,80
4615,1,Sport,Neto Baiano,73,,73
4616,1,Palmeiras,Alan Kardec,88,,88
4616,1,Criciúma,Paulo Baier,12,,12
4616,1,Palmeiras,Leandro,83,,83
4618,2,Fluminense,Rafael Sóbis,45,,45
4620,2,Athletico Paranaense,Mosquito,78,,78
4620,2,Athletico Paranaense,Marcelo Cirino da Silva,83,,83
4620,2,Vitória,Telmário de Araújo Sacramento,11,,11
4620,2,Vitória,José Welison,36,,36
4622,2,Cruzeiro,Júlio Baptista,50,,50
4622,2,São Paulo,Antônio Carlos dos Santos Aguiar,90+2,,92
4619,2,Internacional,Rafael Moura,9,,9
4619,2,Internacional,Rafael Moura,35,,35
4619,2,Botafogo,Emerson Sheik,64,,64
4619,2,Botafogo,Pablo Zeballos,75,,75
4621,2,Corinthians,Guilherme dos Santos Torres,9,,9
4621,2,Corinthians,Carlos Gilberto do Nascimento Silva,80,,80
4626,2,Sport,Rithely,12,,12
4626,2,Sport,Ananias Elói Castro Monteiro,38,,38
4626,2,Chapecoense,Ricardo Conceição,37,,37
4623,2,Bahia,Lincoln Cássio de Souza Soares,8,,8
4623,2,Bahia,Fahel,74,,74
4624,2,Grêmio,Alan Ruiz,11,,11
4624,2,Grêmio,Lucas Coelho,22,,22
4624,2,Atlético Mineiro,Luiz Fernando Pereira da Silva,84,,84
4625,2,Goiás,Willian José de Souza,82,,82
4628,3,Cruzeiro,Elierce Barbosa de Souza,75,Penalty,75
4628,3,Athletico Paranaense,Marcelo Cirino da Silva,40,,40
4628,3,Cruzeiro,Nílton Ferreira Júnior,36,,36
4628,3,Cruzeiro,Marcelo Moreno,83,,83
4628,3,Athletico Paranaense,Éderson Alves Ribeiro Silva,24,,24
4629,3,São Paulo,Ademilson,72,,72
4629,3,Coritiba,Róbson Michael Signorini,30,,30
4629,3,Coritiba,Luis Francisco Grando,61,,61
4629,3,São Paulo,Alexandre Pato,22,,22
4630,3,Vitória,Marcos Antônio da Silva Gonçalves,54,,54
4630,3,Vitória,Marcos Antônio da Silva Gonçalves,83,,83
4630,3,Fluminense,Wagner Ferreira dos Santos,88,,88
4631,3,Criciúma,Silvinho,14,,14
4634,3,Flamengo,Márcio Rodrigues Araújo,50,,50
4634,3,Palmeiras,Henrique Dourado,31,,31
4634,3,Flamengo,Alecsandro,60,,60
4634,3,Flamengo,Alecsandro,73,,73
4634,3,Flamengo,Paulinho,14,,14
4634,3,Palmeiras,Wesley Lopes Beltrame,11,,11
4633,3,Bahia,Maxi Biancucchi,59,,59
